Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price
2010-05-24,1,20.00,760.00,38.00,38.00,38.00
2010-08-19,1,681000.00,25878000.00,38.00,38.00,38.00
Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price
2010-05-24,1,20.00,760.00,38.00,38.00,38.00
2010-08-19,1,681000.00,25878000.00,38.00,38.00,38.00
